"","sampling_cluster_median_date","hen_prevalence_normalized","hen_prevalence_normalized_smooth","ct_threshold","prev_quantile"
"1",2017-07-17,0,0.242288523859595,28,0.166
"2",2017-08-08,0,0.210126643634476,28,0.308
"3",2017-09-06,1,0.170927910559084,28,0.552
"4",2017-10-08,0,0.13064900117083,28,0.684
"5",2017-10-31,0,0.103653958762342,28,0.696
"6",2017-11-23,0,0.0788657520497957,28,0.71
"7",2017-12-18,0,0.0553839345019894,28,0.704
"8",2018-01-22,0,0.032398707023571,28,0.638
"9",2018-02-14,0,0.0239412308636349,28,0.59
"10",2018-03-07,0,0.0198097225796166,28,0.51
"11",2018-04-27,0,0.0225740917785801,28,0.404
"12",2018-05-19,0,0.0341958304038898,28,0.312
"13",2018-06-06,0.372881355932203,0.0574761856228071,28,0.312
"14",2018-06-29,0,0.124472146848658,28,0.408
"15",2018-07-26,0.173228346456693,0.278678180397924,28,0.614
"16",2018-08-30,0.511627906976744,0.482582435357844,28,0.864
"17",2018-09-28,0.702127659574468,0.479355334757238,28,0.92
"18",2018-10-10,0,0.408485554028397,28,0.892
"19",2018-10-27,0.485294117647059,0.252500724569791,28,0.76
"20",2018-11-28,0,0.0358955816438047,28,0.238
"21",2019-01-03,0,0.00106271476778595,28,0.078
"22",2019-01-25,0,8.01815181090047e-05,28,0.06
"23",2019-02-26,0,1.30320900179656e-06,28,0.044
"24",2019-03-10,0,2.61571149740182e-07,28,0.056
"25",2019-03-25,0,3.57431411923868e-08,28,0.06
"26",2019-05-02,0,4.01210477015828e-10,28,0.068
"27",2019-06-05,0,3.02824903571034e-11,28,0.072
"28",2019-07-01,0,1.80742290995608e-11,28,0.076
"29",2019-07-15,0,2.67337179383848e-11,28,0.082
"30",2019-07-25,0,4.74742328005603e-11,28,0.09
"31",2019-08-28,0,1.39909516722329e-09,28,0.118
"32",2019-09-24,0,5.6472535051355e-08,28,0.128
"33",2019-10-28,0,8.20902090585929e-06,28,0.168
"34",2019-11-27,0,0.000385262194826573,28,0.242
"35",2019-12-18,0,0.00286959997906131,28,0.354
"36",2020-01-28,0,0.0301241897887505,28,0.722
"37",2020-02-25,0.19047619047619,0.0599276208148224,28,0.83
"38",2020-03-25,0,0.0736699730905317,28,0.86
"39",2020-04-28,0,0.0660914797058922,28,0.806
"40",2020-05-26,0,0.056857351304578,28,0.752
"41",2020-06-25,0,0.0510230867902601,28,0.702
"42",2020-07-20,0.338461538461538,0.0483135681723103,28,0.7
"43",2020-08-05,0,0.0472571571921828,28,0.69
"44",2020-08-25,0,0.0464317557025199,28,0.676
"45",2020-09-25,0,0.0457318561497894,28,0.656
"46",2017-07-17,0.5,0.879940495013807,29,0.712
"47",2017-08-08,1,0.703026242557515,29,0.858
"48",2017-09-06,0.681818181818182,0.360824041518189,29,0.796
