"","site","site_code","date","sampling_cluster","sampling_cluster_median_date","sampling_group_month","sampling_group_year","accession_update","sample_id","ct_hev","Nml_hev","preservative","bff_present_update","nbff_over_sheet","nnonbff_over_sheet"
"1","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","2",0,NA,"VTM","bff_present",1,0
"2","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","3",0,NA,"VTM","bff_present",1,0
"3","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","5",0,NA,"VTM","bff_present",1,0
"4","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","6",0,NA,"VTM","bff_present",2,0
"5","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","7",0,NA,"VTM","bff_present",2,0
"6","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","8",0,NA,"VTM","bff_present",1,0
"7","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","9",0,NA,"VTM","bff_present",2,0
"8","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","11",0,NA,"VTM","bff_present",1,0
"9","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","12",0,NA,"VTM","bff_present",1,0
"10","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","13",0,NA,"VTM","bff_present",2,0
"11","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","14",0,NA,"VTM","bff_present",2,0
"12","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","15",0,NA,"VTM","bff_present",2,0
"13","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","16",0,NA,"VTM","bff_present",2,0
"14","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","17",0,NA,"VTM","bff_present",1,0
"15","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","19",0,NA,"VTM","bff_present",1,0
"16","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","20",0,NA,"VTM","bff_present",1,0
"17","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","21",0,NA,"VTM","bff_present",2,0
"18","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","23",0,NA,"VTM","bff_present",1,0
"19","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","24",0,NA,"VTM","bff_present",1,0
"20","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","25",0,NA,"VTM","bff_present",2,0
"21","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","27",0,NA,"VTM","bff_present",1,0
"22","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","29",0,NA,"VTM","bff_present",1,0
"23","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","31",0,NA,"VTM","bff_present",1,0
"24","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","33",36,699.1807631,"VTM","bff_present",1,0
"25","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","34",0,NA,"VTM","bff_present",2,0
"26","Burleigh","BUR","2020-01-30",36,2020-01-28,"Jan","2020","ARBUR018","35",0,NA,"VTM","bff_present",1,0
